ID	BERTH_TYPE	BERTH_NR	NAME	PARTICULARS	DT_ADDED	DT_MODIFIED	X_COORD	Y_COORD	ORIENTATION	DEFAULT_MOORING_CODE	MOORING_POLES	COMPANY_NAME	BERTH_CODE
876	G	2768	VERVALLEN LIGPL	MARGH GHR NZ	5/9/2011 09:11	7/2/2013 12:40	88236	432496					
877	G	2769	VERVALLEN LIGPL	MARGH ECT NZ (DEMPING FASE 1)	5/9/2011 09:11	7/2/2013 12:40	88330	432462					
879	G	2770	VERVALLEN LIGPL	MARGH ECT NZ (DEMPING FASE 1)	5/9/2011 09:11	7/2/2013 12:40	75000	445000					
880	G	2771	VERVALLEN LIGPL	MARGH ECT NZ (DEMPING FASE 1)	5/9/2011 09:11	7/2/2013 12:40	75000	445000					
882	G	2773	VERVALLEN LIGPL	MARGH ECT NZ (DEMPING FASE 1)	5/9/2011 09:11	7/2/2013 12:40	75000	445000					
883	G	2774	VERVALLEN LIGPL	MARGH ECT ZZ (DEMPING FASE 1)	5/9/2011 09:11	7/2/2013 12:40	75000	445000					
884	G	2775	VERVALLEN LIGPL	MARGH ECT ZZ (DEMPING FASE 1)	5/9/2011 09:11	7/2/2013 12:40	75000	445000					
886	G	2777	VERVALLEN LIGPL	MARGH ECT ZZ (DEMPING FASE 1)	5/9/2011 09:11	7/2/2013 12:40	75000	445000					
887	G	2778	VERVALLEN LIGPL	MARGH ECT ZZ (DEMPING FASE 1)	5/9/2011 09:11	7/2/2013 12:40	75000	445000					
889	G	2780	VERVALLEN LIGPL	MARGH ECT ZZ	5/9/2011 09:11	7/2/2013 12:40	88238	432320					
890	G	2781	VERVALLEN LIGPL	MARGH ECT ZZ	5/9/2011 09:11	7/2/2013 12:40	88144	432354					
892	G	2783	VERVALLEN LIGPL	MARGH ECT ZZ GEDEMPT	5/9/2011 09:11	7/2/2013 12:40	87956	432424		BB			
893	G	2784	EEMHV RST ZZ		5/9/2011 09:11	7/2/2013 12:40	87898	432636	290	BB	129-133	EEMHV RST ZZ	
895	G	2786	EEMHV RST ZZ		5/9/2011 09:11	7/2/2013 12:40	87762	432682	290	BB	119-123	EEMHV RST ZZ	
897	G	2788	EEMHV ECT ZZ		5/9/2011 09:11	7/2/2013 12:40	87576	432752	290	BB	110-115	EEMHV ECT ZZ	
900	G	2791	ALEXH ECT ZZ		5/9/2011 09:11	7/2/2013 12:40	87292	432848	263	SB	95-99	ALEXH ECT ZZ	
902	G	2793	ALEXH ECT ZZ		5/9/2011 09:11	7/2/2013 12:40	87094	432824	263	SB	84-88	ALEXH ECT ZZ	
904	G	2795	ALEXH ECT ZZ		5/9/2011 09:11	7/2/2013 12:40	86894	432800	263	SB	74-78	ALEXH ECT ZZ	
906	G	2797	ALEXH ECT ZZ		5/9/2011 09:11	7/2/2013 12:40	86696	432776	263	SB	64-68	ALEXH ECT ZZ	
908	G	2799	ALEXH ECT DWARSWAL		5/9/2011 09:11	7/2/2013 12:40	86566	432852	353	BB		ALEXH ECT DWARSWAL	
910	G	2800	ALEXH ECT NZ		5/9/2011 09:11	7/2/2013 12:40	86604	432952	83	BB	46-48	ALEXH ECT NZ	
911	G	2801	ALEXH ECT NZ		5/9/2011 09:11	7/2/2013 12:40	86654	432958	83	BB	41-45	ALEXH ECT NZ	
912	G	2802	ALEXH ECT NZ		5/9/2011 09:11	7/2/2013 12:40	86752	432970	83	BB	36-40	ALEXH ECT NZ	
914	G	2804	ALEXH INTERFOREST		5/9/2011 09:11	7/2/2013 12:40	86952	432994	83	BB	25-27	ALEXH INTERFOREST	
916	G	2806	ALEXH INTERFOREST		5/9/2011 09:11	7/2/2013 12:40	87150	433018	83	BB	15-19	ALEXH INTERFOREST	
918	G	2808	ALEXH INTERFOREST		5/9/2011 09:11	7/2/2013 12:40	87348	433040	83	BB	9-Apr	ALEXH INTERFOREST	
