"ID","MAIN_ENGINE_MANUFACTURER","NUMBER_OF_PROPELLORS","MAIN_ENGINE_CAPACITY","TYPE_OF_FUEL","BOW_THRUSTER","STERN_THRUSTER","SHIP_CATEGORY"
3950,"",,33688,"HFO","930 KW","","GEN CARGO"
3951,"",,23390,"HFO","JA","","GEN CARGO"
3952,"",,33541,"HFO","2X","","GEN CARGO"
3953,"",,33541,"HFO","2X736 KW","","PASSENGER"
3956,"",,2942,"HFO","400 PK","","TANKER"
3957,"",,2942,"HFO","260 KW","","TANKER"
3958,"",,1434,"HFO","","","GEN CARGO"
3959,"",,2200,"HFO","","","GEN CARGO"
3960,"",,5443,"HFO","","","BULK"
3961,"",,5443,"HFO","","","BULK"
3962,"",,5443,"HFO","","","BULK"
3963,"",,5443,"HFO","","","BULK"
3964,"",,5443,"HFO","","","BULK"
3965,"",,5443,"HFO","","","BULK"
3968,"",,1471,"HFO","147 KW","","GEN CARGO"
3969,"",,1455,"HFO","","","GEN CARGO"
3970,"",,2353,"","","","TANKER"
3972,"",,1919,"","","","GEN CARGO"
3974,"",,1471,"HFO","250","","GEN CARGO"
3975,"",,0,"","","","PONTOON"
3976,"",,17652,"","","","TANKER"
3977,"",,29422,"HFO","","","TANKER"
3978,"",,1471,"HFO","130 PK","","GEN CARGO"
3979,"",,2942,"HFO","","","GEN CARGO"
3980,"",,5884,"HFO","470 KW","","TANKER"
3981,"",,5884,"HFO","470 KW","","TANKER"
3982,"",,1471,"HFO","JA","","TANKER"
3983,"",,2934,"HFO","500 PK","","GEN CARGO"
3984,"",,15299,"HFO","2X","","PASSENGER"
3985,"",,0,"HFO","","","PONTOON"
3986,"",,10444,"HFO","","","BULK"
3987,"",,9194,"","","","GEN CARGO"
3989,"",,7282,"HFO","","","GEN CARGO"
3990,"",,4486,"HFO","","","GEN CARGO"
3991,"",,1544,"HFO","","","GEN CARGO"
3992,"",,2206,"HFO","","","TUG"
3993,"",,0,"","","","TANKER"
3994,"",,4928,"","","","PASSENGER"
3995,"",,13092,"HFO","JA","","PASSENGER"
3996,"",,23979,"","","","BULK"
3998,"",,3677,"HFO","","","BULK"
3999,"",,8948,"","","","BULK"
4000,"",,1941,"HFO","","","GEN CARGO"
