ID	ZB_TYPE	SHIPNUMBER	SHIPNUMBER_TYPE	CALLSIGN	SHIPNAME	LENGTH	BEAM	MMSI_NUMBER	MAXIMUM_DRAUGHT	TONNAGE	CATEGORY
2	B	2327484	IVR		SUZANNA	86	9.5		26	1403	8010
3	B	2321854	IVR		HERMINA	110	11.4	244750786	35	3009	8010
4	B	6002430	IVR		SOMTRANS III	110	10.54	205041400	36	2987	8020
5	B	6004073	IVR		SOMTRANS XI	135	15	205085300	41	5790	8020
6	B	6001492	IVR		NAUTIEK	80	9.48	205204390	28	1506	8010
7	B	2323098	IVR		LAUWEN	110	11.48	205214890	36	3108	8010
8	B	6003660	IVR		SOMTRANS V	86	11.4	205238190	29	1606	8020
9	B	6000641	IVR		JEWEL	39	5.08	205257490	25	380	8010
10	B	6003254	IVR		KIMBERLEY	80	8.2	205258890	26	1139	8020
11	B	6002090	IVR		AVISO	70	8.24	205262190	25	758	8020
12	B	6002019	IVR		ARBON	85	9	205267790	33	1832	8020
13	B	6003762	IVR		GERSOM	80	9.02	205269390	27	1258	8010
14	B	6003670	IVR		COMUS	110	11.45	205278290	36	3021	8010
15	B	6000034	IVR		LUXOR	80	8.2	205279790	25	1080	8010
16	B	6001933	IVR		JELO	110	11.97	205285590	33	2993	8010
17	B	6001729	IVR		STEINDAMM	85	9.47	244810749	29	1634	8020
18	B	2207738	IVR		THIBO	12	8.62	205311990	18	0	8430
19	B	6004128	IVR		BOSCO	135	11.45	205328800	32	3940	8010
20	B	6003589	IVR		GUNA	135	12	205336090	33	3489	8010
21	B	6000931	IVR		LAGO	67	8.26	205337190	29	1128	8010
22	B	6003069	IVR		SOMTRANS IV	110	11.4	205340190	32	2494	8020
23	B	6003661	IVR		SOMTRANS IX	110	11.45	205348990	30	2679	8020
24	B	6003944	IVR		ARGUS	110	11.45	205368590	35	3027	8010
25	B	6003948	IVR		SOMTRANS X	135	15	205369090	35	5801	8020
26	B	6004185	IVR		VERSUS	110	11.45	205372990	36	3256	8010
27	B	6004274	IVR		HOUTLAND	110	11.45	205382490	36	3243	8010
28	B	6004275	IVR		CYMBA	110	11.4	205382590	32	2690	8010
29	B	6004256	IVR		LINJAD	110	11.4	205382990	31	2499	8010
30	B	6105006	IVR		PECUNIA	135	11.45	205391290	0	3919	8010
31	B	2319012	IVR		SPLENDOR	110	11.4		37	2600	8010
32	B	2327260	IVR		ALEXIA	110	11.45	205391990	41	3550	8020
33	B	2326864	IVR		SHELBY	110	11.45	205395590	0	3248	8010
34	B	6105037	IVR		ALASKA	110	11.4	205401290	35	2954	8020
35	B	6002903	IVR		DAKOTA	57	7.03	205418790	26	599	8020
37	B	6002533	IVR		RENE 19	83	9.5	205423290	26	919	8040
38	B	6002941	IVR		STAR BLENDER	65	7.06	205438890	25	735	8020
39	B	6002166	IVR		VIGO	69	9	205439590	33	1319	8020
40	B	2301695	IVR		DORADO	26	6.58	205446890	0	0	8430
41	B	6003772	IVR		MSC POOLSTER	110	11.4	205464990	34	3100	8010
42	B	6004279	IVR		ORCA	18.43	11.16	205474290	20	50	8430
43	B	6004267	IVR		BELUGA	15	8.31	205475190	19	0	8430
44	B	2312870	IVR		BRILLANT	64	9.07	244010005	16	0	8440
45	B	2324396	IVR		PIET HEIN	86	9.5	244010025	28	16	8440
46	B	2332583	IVR		DESPERADO	110	13.5	244010030	42	4228	8020
47	B	2327358	IVR		TURQUOISE	110	13.54	244010042	42	4221	8020
48	B	2205100	IVR		CALCIT 5	105	9.5	244010053	32	2159	8020
49	B	2324640	IVR		COMPROMIS	86	9.5	244010069	36	1849	8010
50	B	2325082	IVR		MYOSOTIS	70	7.45	244010082	32	1027	8010
51	B	2325946	IVR		A QUADRAAT	110	11.07	244010107	31	2507	8010
52	B	2327408	IVR		AMOUREUS	135	11.4	244010131	0	3905	8010
53	B	2206386	IVR		EXCELSIOR	21	4.76	244010175	12	0	8000
54	B	2323701	IVR		REINOD 1	15	3.92	244010190	20	0	8430
55	B	2316573	IVR		VOLTA	0	0	244010197	0	0	8000
56	B	2323703	IVR		REINOD 6	15	3.92	244010219	21	0	8430
57	B	2319631	IVR		VEERHAVEN VII	40	14.97	244010253	19	0	8430
58	B	2103791	IVR		BOREAS	13	3.95	244010298	0	0	8430
59	B	2316706	IVR		ORGANZA	34	5.63	244010299	12	146	8440
60	B	2316320	IVR		HELENA CORA	73	8.23	244010304	28	1085	8010
61	B	2313016	IVR		ENDEAVOUR	60	7.12	244010311	23	629	8010
62	B	2311027	IVR		BENJAMIN	82	8.2	244010313	26	1190	8020
63	B	2209785	IVR		ANNA VAN ORANJE	22	4.5	244010328	0	0	1850
64	B	2006004	IVR		KLAAS DE BOER	59	6.94	244010330	25	627	8020
65	B	2323692	IVR		RIVER QUEEN	110	11.4	244010349	16	0	8440
66	B	2319670	IVR		MARTENS 10	105	9.48	244010352	28	2042	8020
67	B	2311193	IVR		JANITA	67	8.2	244010391	26	898	8010
68	B	2332160	IVR		ANJELIERSGRACHT	86	10.5	244010413	30	1637	8020
69	B	2207495	IVR		DRIEBOND I	0	0	244010447	0	0	8430
70	B	2331137	IVR		RAPITARD	135	11.45	244010489	0	4215	8010
